DOID:8977	Lymphadenopathy is a term meaning "disease of the lymph nodes." It is, however, almost synonymously used with "swollen/enlarged lymph nodes". It could be due to infection, auto-immune disease, or malignancy.
DOID:898	Polycystic kidney disease (PKD or PCKD, also known as polycystic kidney syndrome) is a cystic genetic disorder of the kidneys. There are two types of PKD: autosomal dominant polycystic kidney disease (ADPKD) and the less-common autosomal recessive polycystic kidney disease (ARPKD).
DOID:899	Choledochal cysts are congenital conditions involving cystic dilatation of bile ducts. They are uncommon in western countries but not as rare in East Asian nations like Japan and China.
DOID:8986	Narcolepsy is a chronic sleep disorder, or dyssomnia, characterized by excessive sleepiness and sleep attacks at inappropriate times, such as while at work. People with narcolepsy often experience disturbed nocturnal sleep and an abnormal daytime sleep pattern, which often is confused with insomnia. Narcoleptics, when falling asleep, generally experience the REM stage of sleep within 5 minutes; whereas most people do not experience REM sleep until an hour or so later.
DOID:8991	Cervical intraepithelial neoplasia (CIN), also known as cervical dysplasia and cervical interstitial neoplasia, is the potentially premalignant transformation and abnormal growth (dysplasia) of squamous cells on the surface of the cervix. CIN is not cancer, and is usually curable. Most cases of CIN remain stable, or are eliminated by the host's immune system without intervention. However a small percentage of cases progress to become cervical cancer, usually cervical squamous cell carcinoma (SCC), if left untreated. The major cause of CIN is chronic infection of the cervix with the sexually transmitted human papillomavirus (HPV), especially the high-risk HPV types 16 or 18. Over 100 types of HPV have been identified. About a dozen of these types appear to cause cervical dysplasia and may lead to the development of cervical cancer. Other types cause warts.
DOID:0050316	Staphylococcus aureus is a facultative anaerobic Gram-positive coccal bacterium. It is frequently found as part of the normal skin flora on the skin and nasal passages. It is estimated that 20% of the human population are long-term carriers of S. aureus. S. aureus is the most common species of staphylococci to cause Staph infections. The reasons S. aureus is a successful pathogen are a combination host and bacterial immuno-evasive strategies. One of these strategies is the production of carotenoid pigment staphyloxanthin which is responsible for the characteristic golden colour of S. aureus colonies. This pigment acts as a virulence factor, primarily being a bacterial antioxidant which helps the microbe evade the hosts immune system in the form of reactive oxygen species which the host uses to kill pathogens.
DOID:963	Neuromyotonia (NMT), also known as Isaacs' syndrome, is a form of peripheral nerve hyperexcitability that causes spontaneous muscular activity resulting from repetitive motor unit action potentials of peripheral origin.
DOID:0050534	X-linked congenital stationary night blindness (CSNB) is a rare X-linked non-progressive retinal disorder. It has two forms, complete, also known as type-1 (CSNB1), and incomplete, also known as type-2 (CSNB2), depending on severity. In the complete form (CSNB1), there is no measurable rod cell response to light, whereas this response is measurable in the incomplete form. Patients with this disorder have difficulty adapting to low light situations due to impaired photoreceptor transmission. These patients also often have reduced visual acuity, myopia, nystagmus, and strabismus. CSNB1 is caused by mutations in the gene NYX, which encodes a protein involved in retinal synapse formation or synaptic transmission. CSNB2 is caused by mutations in the gene CACNA1F, which encodes a voltage-gated calcium channel CaV1.4.
DOID:0050533	Da Costa's syndrome, which was colloquially known as soldier's heart, is a syndrome with a set of symptoms that are similar to those of heart disease, though a physical examination does not reveal any physiological abnormalities. In modern times, Da Costa's syndrome is considered the manifestation of an anxiety disorder and treatment is primarily behavioral, involving modifications to lifestyle and daily exertion.
DOID:0050532	A birthmark is a benign irregularity on the skin which is present at birth or appears shortly after birth, usually in the first month. They can occur anywhere on the skin. Birthmarks are caused by overgrowth of blood vessels, melanocytes, smooth muscle, fat, fibroblasts, or keratinocytes.
